"","id","doses","totMem","immRate","year","type","gradeRange","pubPriv","team2014","p.vfc","frLunch13","school"
"98",91,300,667,44.9775112443778,2010,"elem","elem","pub","3",78.8461538461538,59.55,"LITTLEWOOD ELEM."
"99",221,134,434,30.8755760368664,2010,"mid","mid","pub","4",51.7730496453901,62.67,"MEBANE MIDDLE"
"100",101,122,451,27.0509977827051,2010,"elem","elem","pub","4",80.5970149253731,94.84,"METCALFE ELEM."
"101",951,71,116,61.2068965517241,2010,"elem","elem","priv",NA,54.6666666666667,NA,"MICANOPY AREA CO-OP"
"102",961,26,79,32.9113924050633,2010,"mid","mid","priv",NA,55.5555555555556,65.57,"MICANOPY MIDDLE SCHOOL"
"103",-10,63,226,27.8761061946903,2010,"multi","prek-8","priv",NA,3.15789473684211,NA,"MILLHOPPER MONTESSORI"
"104",531,296,539,54.9165120593692,2010,"elem","elem","pub","3",51.2345679012346,54.75,"NEWBERRY ELEM."
"105",541,280,645,43.4108527131783,2010,"elem","elem","pub","2",48.695652173913,57.25,"NORTON ELEM."
"106",-11,391,823,47.5091130012151,2010,"high","high","priv",NA,10.1809954751131,NA,"OAK HALL"
"107",591,296,633,46.7614533965245,2010,"mid","mid","pub","1",36.3372093023256,44.71,"OAKVIEW MIDDLE"
"108",950,51,123,41.4634146341463,2010,"elem","elem","priv",NA,63.6363636363636,71.15,"ONE ROOM SCHOOL HOUSE"
"109",500,31,85,36.4705882352941,2010,"elem","elem","pub",NA,95.2380952380952,100,"PRAIRIE VIEW"
"110",341,157,388,40.4639175257732,2010,"elem","elem","pub","2",86.7647058823529,78.98,"RAWLINGS & FERNSIDE"
"111",281,79,197,40.1015228426396,2010,"elem","elem","pub",NA,75,57.92,"SHELL ELEM."
"112",-22,16,30,53.3333333333333,2010,"prek","prek","priv",NA,NA,NA,"SPENCER MONTESSORI"
"113",-14,61,241,25.3112033195021,2010,"high","high","priv",NA,18.4210526315789,NA,"ST. FRANCIS HIGH SCHOOL"
"114",41,227,462,49.1341991341991,2010,"elem","elem","pub",NA,51.0548523206751,61.35,"STEPHEN FOSTER ELEM."
"115",561,391,704,55.5397727272727,2010,"elem","elem","pub","2",21.9718309859155,31.99,"TALBOT ELEM."
"116",311,284,648,43.8271604938272,2010,"elem","elem","pub","2",78.3687943262411,85.21,"TERWILLIGER ELEM."
"117",-16,51,300,17,2010,"multi","prek-12","priv",NA,29.8969072164948,NA,"THE ROCK"
"118",-17,23,76,30.2631578947368,2010,"multi","k-12","priv",NA,35,NA,"TRILOGY"
"119",291,105,197,53.2994923857868,2010,"elem","elem","pub","4",82.1782178217822,85.99,"WALDO ELEM."
"120",141,245,994,24.6478873239437,2010,"mid","mid","pub","1",43.5164835164835,54.12,"WESTWOOD MIDDLE"
"121",501,374,692,54.0462427745665,2010,"elem","elem","pub","3",38.715953307393,44.32,"WILES ELEM."
"122",111,200,543,36.8324125230203,2010,"elem","elem","pub","1",53.3333333333333,74.73,"WILLIAMS ELEM."
"123",52,32,63,50.7936507936508,2011,"elem","elem","pub","4",91.304347826087,80,"A QUINN ELEM."
"124",161,160,427,37.4707259953162,2011,"elem","elem","pub","4",52.760736196319,64.25,"ALACHUA ELEM."
"125",1011,30,170,17.6470588235294,2011,"multi","k-8","priv",NA,39.0243902439024,NA,"ALACHUA LEARNING CTR"
"126",171,245,459,53.3769063180828,2011,"elem","elem","pub","4",49.8181818181818,59.43,"ARCHER ELEM."
