"","X","district","id","School","totMem","free","reduced","naf","frper"
"2229",37,"LEON",1181,"BOND ELEMENTARY SCHOOL",664,NA,NA,"","0"
"2230",37,"LEON",1201,"WILLIAM J MONTFORD III MIDDLE",1124,160,42,"202","17.97"
"2231",37,"LEON",1202,"J MICHAEL CONLEY ELEM SCHOOL A",891,255,42,"297","33.33"
"2232",37,"LEON",1211,"SUCCESS ACADEMY AT GHAZVINI LE",260,161,11,"172","66.15"
"2233",37,"LEON",1401,"C.K. STEELE-LEROY COLLINS CHAR",68,43,6,"49","72.06"
"2234",37,"LEON",1402,"THE SCHOOL OF ARTS & SCIENCES",270,35,4,"39","14.44"
"2235",37,"LEON",1417,"STARS MIDDLE SCHOOL",166,88,13,"101","60.84"
"2236",37,"LEON",1421,"IMAGINE SCHOOL AT EVENING ROSE",423,82,16,"98","23.17"
"2237",37,"LEON",1431,"CAPITAL CITY HIGH SCHOOL",189,142,4,"146","77.25"
"2238",37,"LEON",1441,"GOVERNOR'S CHARTER SCHOOL",540,155,29,"184","34.07"
"2239",37,"LEON",1502,"LEON CO JUVENILE DETENTION CTR",36,9,NA,"9","25"
"2240",37,"LEON",1503,"PACE CENTER FOR GIRLS",57,37,4,"41","71.93"
"2241",37,"LEON",1507,"AMIKIDS",26,22,NA,"22","84.62"
"2242",37,"LEON",1509,"DISC-WOODVILLE ALT LEARNING CE",NA,NA,NA,"#","#"
"2243",37,"LEON",1519,"LEON COUNTY JAIL",12,8,NA,"8","66.67"
"2244",37,"LEON",7001,"LEON COUNTY VIRTUAL INSTRUCTIO",NA,NA,NA,"#","#"
