"","id","school","doses","totMem","immRate","year","type","gradeRange","pubPriv","frLunch13","percent_free_reduced_lunch"
"209",958,"Genesis Prep.",9,72,0.125,2012,"elem","elem","priv",82.35,82.35
"210",331,"Glen Springs Elem.",262,439,0.5968109339,2012,"elem","elem","pub",45.53,45.53
"211",-7,"G'ville Country Day School",106,250,0.424,2012,"prek","prek","priv",NA,NA
"212",201,"Hawthorne Jr./Sr. High",57,303,0.1881188119,2012,"high","high","pub",79.53,79.53
"213",981,"Healthy Learning",48,85,0.5647058824,2012,"elem","elem","priv",26.14,26.14
"214",482,"Hidden Oak Elem.",403,706,0.5708215297,2012,"elem","elem","pub",29.5,29.5
"215",461,"High Springs Elem.",417,837,0.4982078853,2012,"elem","elem","pub",39.86,39.86
"216",971,"Hoggtown Middle",39,105,0.3714285714,2012,"mid","mid","priv",79.82,79.82
"217",412,"Horizon Center",14,101,0.1386138614,2012,"high","high","pub",93.26,93.26
"218",121,"Howard Bishop Middle",237,694,0.3414985591,2012,"mid","mid","pub",60.03,60.03
"219",321,"Idylwilde Elem.",221,645,0.3426356589,2012,"elem","elem","pub",83.18,83.18
"220",571,"Irby Elem.",240,450,0.5333333333,2012,"elem","elem","pub",65.35,65.35
"221",31,"JJ Finley Elem.",306,548,0.5583941606,2012,"elem","elem","pub",56.25,56.25
"222",-9,"Jordan Glenn",49,115,0.4260869565,2012,"multi","prek-8","priv",NA,NA
"223",502,"Kanapaha Middle",380,969,0.3921568627,2012,"mid","mid","pub",45.6,45.6
"224",71,"Lake Forrest Elem.",118,311,0.3794212219,2012,"elem","elem","pub",96,96
"225",112,"Lincoln Middle",252,694,0.3631123919,2012,"mid","mid","pub",53.76,53.76
"226",91,"Littlewood Elem.",293,606,0.4834983498,2012,"elem","elem","pub",59.55,59.55
"227",411,"Loften High",46,206,0.2233009709,2012,"high","high","pub",65.32,65.32
"228",520,"Meadowbrook Elem.",314,577,0.5441941075,2012,"elem","elem","pub",38.27,38.27
"229",221,"Mebane Middle",162,382,0.4240837696,2012,"mid","mid","pub",62.67,62.67
"230",101,"Metcalfe Elem.",97,309,0.3139158576,2012,"elem","elem","pub",94.84,94.84
"231",951,"Micanopy Area Co-op",63,122,0.5163934426,2012,"elem","elem","priv",NA,NA
"232",961,"Micanopy Middle School",17,66,0.2575757576,2012,"mid","mid","priv",65.57,65.57
"233",-10,"Millhopper Montessori",80,235,0.3404255319,2012,"multi","prek-8","priv",NA,NA
"234",531,"Newberry Elem.",290,486,0.5967078189,2012,"elem","elem","pub",54.75,54.75
"235",261,"Newberry High",195,561,0.3475935829,2012,"high","high","pub",44.25,44.25
"236",541,"Norton Elem.",315,603,0.5223880597,2012,"elem","elem","pub",57.25,57.25
"237",-11,"Oak Hall",420,826,0.5084745763,2012,"high","high","priv",NA,NA
"238",591,"Oakview Middle",282,659,0.4279210926,2012,"mid","mid","pub",44.71,44.71
"239",950,"One Room School House",69,172,0.4011627907,2012,"elem","elem","priv",71.15,71.15
"240",391,"PK Yonge",335,1150,0.2913043478,2012,"multi","k-12","pub",NA,NA
"241",500,"Prairie View",27,87,0.3103448276,2012,"elem","elem","pub",100,100
"242",341,"Rawlings Elem.",96,295,0.3254237288,2012,"elem","elem","pub",78.98,78.98
"243",271,"Sante Fe High",138,968,0.1425619835,2012,"high","high","pub",25.67,25.67
"244",281,"Shell Elem.",116,185,0.627027027,2012,"elem","elem","pub",57.92,57.92
"245",-14,"St. Francis High School",81,241,0.3360995851,2012,"high","high","priv",NA,NA
"246",-18,"Star Christian",4,45,0.0888888889,2012,"multi","prek-8","priv",NA,NA
"247",41,"Stephen Foster Elem.",239,459,0.5206971678,2012,"elem","elem","pub",61.35,61.35
"248",-19,"Sweetwater Branch",47,270,0.1740740741,2012,"elem","elem","priv",NA,NA
"249",561,"Talbot Elem.",320,690,0.4637681159,2012,"elem","elem","pub",31.99,31.99
"250",311,"Terwilliger Elem.",259,596,0.4345637584,2012,"elem","elem","pub",85.21,85.21
"251",-16,"The Rock",64,300,0.2133333333,2012,"multi","prek-12","priv",NA,NA
"252",291,"Waldo Elem.",69,200,0.345,2012,"elem","elem","pub",85.99,85.99
"253",141,"Westwood Middle",383,1009,0.3795837463,2012,"mid","mid","pub",54.12,54.12
"254",501,"Wiles Elem.",501,720,0.6958333333,2012,"elem","elem","pub",44.32,44.32
"255",111,"Williams Elem.",134,569,0.2355008787,2012,"elem","elem","pub",74.73,74.73
"256",-20,"Zi Sung 7th Day Adventist",1,25,0.04,2012,"multi","k-10","priv",NA,NA
"257",52,"A Quinn Elem.",23,68,0.3382352941,2013,"elem","elem","pub",80,80
"258",161,"Alachua Elem.",163,368,0.4429347826,2013,"elem","elem","pub",64.25,64.25
"259",1011,"Alachua Learning Ctr",41,160,0.25625,2013,"multi","k-8","priv",NA,NA
"260",171,"Archer Elem.",275,444,0.6193693694,2013,"elem","elem","pub",59.43,59.43
"261",-1,"B'Nai Israel",8,47,0.170212766,2013,"prek","prek","priv",NA,NA
"262",-2,"Brentwood School",89,175,0.5085714286,2013,"multi","prek-5","priv",NA,NA
"263",431,"Buchholz High",586,2052,0.2855750487,2013,"high","high","pub",27.28,27.28
"264",953,"Caring & Sharing Learning",39,129,0.3023255814,2013,"elem","elem","priv",94.3,94.3
"265",510,"Chiles Elem.",334,687,0.4861717613,2013,"elem","elem","pub",34.83,34.83
"266",-3,"Christian Life Academy",14,39,0.358974359,2013,"multi","k-12","priv",NA,NA
"267",-4,"Countryside Baptist",24,173,0.1387283237,2013,"multi","prek-12","priv",NA,NA
"268",21,"Duval Elem.",133,296,0.4493243243,2013,"elem","elem","pub",96.6,96.6
"269",421,"Eastside High",355,1325,0.2679245283,2013,"high","high","pub",52.69,52.69
"270",955,"Einstein Mont",45,102,0.4411764706,2013,"multi","2-8","priv",51.4,51.4
"271",956,"Expressions",13,92,0.1413043478,2013,"elem","elem","priv",12.09,12.09
"272",-5,"First Christian Academy",81,242,0.3347107438,2013,"elem","elem","priv",NA,NA
"273",-6,"Forest Grove",17,112,0.1517857143,2013,"elem","elem","priv",NA,NA
"274",481,"Ft. Clarke Middle",415,846,0.4905437352,2013,"mid","mid","pub",42.25,42.25
"275",151,"Gainesville High",446,1720,0.2593023256,2013,"high","high","pub",42.3,42.3
"276",958,"Genesis Prep.",9,68,0.1323529412,2013,"elem","elem","priv",82.35,82.35
"277",331,"Glen Springs Elem.",299,466,0.6416309013,2013,"elem","elem","pub",45.53,45.53
"278",-7,"G'ville Country Day Pre-K 75th",21,75,0.28,2013,"prek","prek","priv",NA,NA
"279",-8,"G'ville Country Day School 24th",94,125,0.752,2013,"prek","prek","priv",NA,NA
"280",201,"Hawthorne Jr./Sr. High",72,282,0.2553191489,2013,"high","high","pub",79.53,79.53
"281",981,"Healthy Learning",52,88,0.5909090909,2013,"elem","elem","priv",26.14,26.14
"282",482,"Hidden Oak Elem.",420,723,0.5809128631,2013,"elem","elem","pub",29.5,29.5
"283",461,"High Springs Elem.",365,840,0.4345238095,2013,"elem","elem","pub",39.86,39.86
"284",971,"Hoggtown Middle",40,114,0.350877193,2013,"mid","mid","priv",79.82,79.82
"285",412,"Horizon Center",4,87,0.0459770115,2013,"high","high","pub",93.26,93.26
"286",121,"Howard Bishop Middle",248,693,0.3578643579,2013,"mid","mid","pub",60.03,60.03
"287",321,"Idylwild Elem.",295,684,0.4312865497,2013,"elem","elem","pub",83.18,83.18
"288",571,"Irby Elem.",257,461,0.557483731,2013,"elem","elem","pub",65.35,65.35
"289",31,"JJ Finley Elem.",360,570,0.6315789474,2013,"elem","elem","pub",56.25,56.25
"290",-9,"Jordan Glenn",59,115,0.5130434783,2013,"multi","prek-8","priv",NA,NA
"291",502,"Kanapaha Middle",410,954,0.429769392,2013,"mid","mid","pub",45.6,45.6
"292",71,"Lake Forest Elem.",130,298,0.4362416107,2013,"elem","elem","pub",96,96
"293",112,"Lincoln Middle",289,675,0.4281481481,2013,"mid","mid","pub",53.76,53.76
"294",91,"Littlewood Elem.",156,621,0.2512077295,2013,"elem","elem","pub",59.55,59.55
"295",411,"Loften High",58,198,0.2929292929,2013,"high","high","pub",65.32,65.32
"296",520,"Meadowbrook Elem.",411,708,0.5805084746,2013,"elem","elem","pub",38.27,38.27
"297",221,"Mebane Middle",141,354,0.3983050847,2013,"mid","mid","pub",62.67,62.67
"298",101,"Metcalfe Elem.",134,318,0.4213836478,2013,"elem","elem","pub",94.84,94.84
"299",951,"Micanopy Area Co-op",75,131,0.572519084,2013,"elem","elem","priv",NA,NA
"300",961,"Micanopy Middle School",18,62,0.2903225806,2013,"mid","mid","priv",65.57,65.57
"301",-10,"Millhopper Montessori",95,217,0.4377880184,2013,"multi","prek-8","priv",NA,NA
"302",531,"Newberry Elem.",324,498,0.6506024096,2013,"elem","elem","pub",54.75,54.75
"303",261,"Newberry High",201,553,0.3634719711,2013,"high","high","pub",44.25,44.25
"304",541,"Norton Elem.",345,673,0.5126300149,2013,"elem","elem","pub",57.25,57.25
"305",-11,"Oak Hall",442,820,0.5390243902,2013,"high","high","priv",NA,NA
"306",591,"Oakview Middle",344,707,0.486562942,2013,"mid","mid","pub",44.71,44.71
"307",950,"One Room School House",66,239,0.2761506276,2013,"elem","elem","priv",71.15,71.15
"308",-12,"Passage Christian",9,19,0.4736842105,2013,"multi","k-12","priv",NA,NA
"309",391,"PK Yonge",311,1142,0.2723292469,2013,"multi","k-12","pub",NA,NA
"310",500,"Prairie View",21,50,0.42,2013,"elem","elem","pub",100,100
"311",-13,"Queen of Peace",228,441,0.5170068027,2013,"multi","prek-8","priv",NA,NA
"312",341,"Rawlings & Fernside",136,290,0.4689655172,2013,"elem","elem","pub",78.98,78.98
"313",271,"Sante Fe High",281,1058,0.2655954631,2013,"high","high","pub",25.67,25.67
"314",281,"Shell Elem.",100,183,0.5464480874,2013,"elem","elem","pub",57.92,57.92
"315",-14,"St. Francis High School",76,242,0.3140495868,2013,"high","high","priv",NA,NA
"316",-15,"St. Patricks",85,242,0.3512396694,2013,"multi","prek-8","priv",NA,NA
"317",41,"Stephen Foster Elem.",237,485,0.4886597938,2013,"elem","elem","pub",61.35,61.35
"318",561,"Talbot Elem.",355,717,0.4951185495,2013,"elem","elem","pub",31.99,31.99
"319",311,"Terwilliger Elem.",282,608,0.4638157895,2013,"elem","elem","pub",85.21,85.21
"320",-16,"The Rock",97,300,0.3233333333,2013,"multi","prek-12","priv",NA,NA
"321",-17,"Trilogy",20,76,0.2631578947,2013,"multi","k-12","priv",NA,NA
"322",291,"Waldo Elem.",101,201,0.5024875622,2013,"elem","elem","pub",85.99,85.99
"323",141,"Westwood Middle",455,989,0.4600606673,2013,"mid","mid","pub",54.12,54.12
"324",501,"Wiles Elem.",514,798,0.6441102757,2013,"elem","elem","pub",44.32,44.32
"325",111,"Williams Elem.",210,565,0.3716814159,2013,"elem","elem","pub",74.73,74.73
"326",52,"A Quinn Elem.",23,67,0.3432835821,2014,"elem","elem","pub",80,80
"327",161,"Alachua Elem.",174,365,0.4767123288,2014,"elem","elem","pub",64.25,64.25
"328",1011,"Alachua Learning Ctr",47,162,0.2901234568,2014,"multi","k-8","priv",NA,NA
"329",171,"Archer Elem.",305,453,0.6732891832,2014,"elem","elem","pub",59.43,59.43
"330",-1,"B'Nai Israel",20,47,0.4255319149,2014,"prek","prek","priv",NA,NA
"331",-2,"Brentwood School",91,175,0.52,2014,"multi","prek-5","priv",NA,NA
"332",431,"Buchholz High",803,2182,0.3680109991,2014,"high","high","pub",27.28,27.28
